# Закон Ципфа
# Rank	Frequency	Term	Zipf_Theoretical
1	1375344	n	1375344.00
2	1365768	the	687672.00
3	636998	in	458448.00
4	467229	and	343836.00
5	403101	of	275068.80
6	391625	a	229224.00
7	344612	to	196477.71
8	286232	was	171918.00
9	214192	race	152816.00
10	207769	for	137534.40
11	182591	with	125031.27
12	176404	at	114612.00
13	158514	de	105795.69
14	149640	on	98238.86
15	138600	rac	91689.60
16	136850	der	85959.00
17	134133	championship	80902.59
18	133335	he	76408.00
19	124899	by	72386.53
20	119919	team	68767.20
21	118464	his	65492.57
22	118456	as	62515.64
23	110900	driv	59797.57
24	110735	в	57306.00
25	109091	und	55013.76
26	101892	s	52897.85
27	96491	season	50938.67
28	95834	ser	49119.43
29	95667	1	47425.66
30	92192	die	45844.80
31	90968	en	44365.94
32	87468	car	42979.50
33	84486	is	41677.09
34	84292	from	40451.29
35	80052	an	39295.54
36	76950	first	38204.00
37	68655	finish	37171.46
38	67798	el	36193.26
39	66034	la	35265.23
40	65519	it	34383.60
41	61689	grand	33544.98
42	61240	second	32746.29
43	61020	и	31984.74
44	60783	2	31257.82
45	60663	von	30563.20
46	60654	one	29898.78
47	60208	that	29262.64
48	59305	nthe	28653.00
49	59057	formula	28068.24
50	58739	were	27506.88
51	57578	world	26967.53
52	57294	prix	26448.92
53	56031	на	25949.89
54	55536	time	25469.33
55	55285	point	25006.25
56	54184	aft	24559.71
57	54076	two	24128.84
58	50532	also	23712.83
59	50091	den	23310.92
60	50082	mit	22922.40
61	49520	had	22546.62
62	49272	3	22182.97
63	48975	y	21830.86
64	48262	год	21489.75
65	47708	result	21159.14
66	47416	year	20838.55
67	45666	would	20527.52
68	45398	lap	20225.65
69	44763	engine	19932.52
70	44755	posit	19647.77
71	44424	round	19371.04
72	44245	start	19102.00
73	44147	won	18840.33
74	41687	das	18585.73
75	41343	speedway	18337.92
76	39679	but	18096.63
77	39091	war	17861.61
78	38833	cars	17632.62
79	38823	which	17409.42
80	38821	auf	17191.80
81	38464	pole	16979.56
82	37643	motor	16772.49
83	37470	fin	16570.41
84	37344	–	16373.14
85	37018	dem	16180.52
86	36721	place	15992.37
87	35724	4	15808.55
88	35485	be	15628.91
89	35147	refer	15453.30
90	34828	no	15281.60
91	34773	motorsport	15113.67
92	34459	event	14949.39
93	34217	des	14788.65
94	33741	5	14631.32
95	33633	care	14477.31
96	33323	cup	14326.50
97	33288	ein	14178.80
98	33108	third	14034.12
99	32961	nin	13892.36
100	32301	new	13753.44
101	32042	three	13617.27
102	31684	rennen	13483.76
103	31514	class	13352.85
104	31350	track	13224.46
105	31094	held	13098.51
106	31073	wurde	12974.94
107	31066	qualify	12853.68
108	30933	—	12734.67
109	30802	not	12617.83
110	30486	с	12503.13
111	30471	their	12390.49
112	29859	er	12279.86
113	29793	who	12171.19
114	29701	winn	12064.42
115	29666	this	11959.51
116	29268	lead	11856.41
117	29238	ferrari	11755.08
118	29014	only	11655.46
119	28887	up	11557.51
120	28880	sport	11461.20
121	28589	für	11366.48
122	27806	nascar	11273.31
123	27725	ref	11181.66
124	27635	km	11091.48
125	27530	im	11002.75
126	26233	circuit	10915.43
127	25977	top	10829.48
128	25930	stand	10744.88
129	25755	its	10661.58
130	25677	dur	10579.57
131	25203	win	10498.81
132	25198	6	10419.27
133	25013	all	10340.93
134	24965	con	10263.76
135	24911	ral	10187.73
136	24662	laps	10112.82
137	24644	als	10039.01
138	24423	un	9966.26
139	24388	был	9894.56
140	24330	over	9823.89
141	23679	end	9754.21
142	23616	del	9685.52
143	23404	champ	9617.79
144	23395	que	9551.00
145	23221	zu	9485.13
146	23212	has	9420.16
147	23025	into	9356.08
148	22954	eine	9292.86
149	22702	intern	9230.50
150	22619	le	9168.96
151	22617	four	9108.24
152	22589	design	9048.32
153	22576	out	8989.18
154	22432	took	8930.81
155	22211	made	8873.19
156	22176	follow	8816.31
157	22060	are	8760.15
158	21747	sich	8704.71
159	21737	0	8649.96
160	21650	24	8595.90
161	21626	formel	8542.51
162	21529	while	8489.78
163	21068	compet	8437.69
164	20778	fastest	8386.24
165	20728	both	8335.42
166	20720	гонк	8285.20
167	20702	british	8235.59
168	20372	name	8186.57
169	20076	before	8138.13
170	19882	when	8090.26
171	19768	gt	8042.95
172	19743	mans	7996.19
173	19722	es	7949.97
174	19711	fia	7904.28
175	19667	los	7859.11
176	19512	500	7814.45
177	19508	ind	7770.31
178	19437	bei	7726.65
179	19377	am	7683.49
180	19160	10	7640.80
181	19135	8	7598.59
182	18994	hour	7556.84
183	18791	команд	7515.54
184	18747	link	7474.70
185	18310	develop	7434.29
186	18281	com	7394.32
187	18207	speed	7354.78
188	18123	rid	7315.66
189	18022	or	7276.95
190	18022	five	7238.65
191	18006	part	7200.75
192	17995	7	7163.25
193	17934	ford	7126.13
194	17841	se	7089.40
195	17834	form	7053.05
196	17696	extern	7017.06
197	17599	carrera	6981.44
198	17537	includ	6946.18
199	17511	off	6911.28
200	17488	they	6876.72
201	17345	return	6842.51
202	17192	vehicle	6808.63
203	17098	him	6775.09
204	17058	title	6741.88
205	17024	12	6709.00
206	16869	по	6676.43
207	16790	por	6644.17
208	16563	las	6612.23
209	16558	lat	6580.59
210	16449	porsche	6549.26
211	16381	been	6518.22
212	16293	​	6487.47
213	16244	open	6457.01
214	16238	road	6426.84
215	16218	oth	6396.95
216	16211	nach	6367.33
217	16101	nation	6337.99
218	16007	за	6308.92
219	15998	renault	6280.11
220	15987	model	6251.56
221	15921	tour	6223.28
222	15907	most	6195.24
223	15829	auto	6167.46
224	15786	пр	6139.93
225	15618	unit	6112.64
226	15609	due	6085.59
227	15583	su	6058.78
228	15530	play	6032.21
229	15510	used	6005.87
230	15484	born	5979.76
231	15479	сезон	5953.87
232	15424	einem	5928.21
233	15378	gp	5902.76
234	15322	vor	5877.54
235	15308	debut	5852.53
236	15305	last	5827.73
237	15244	complete	5803.14
238	15223	american	5778.76
239	15207	back	5754.58
240	15194	aus	5730.60
241	15136	para	5706.82
242	15131	mclaren	5683.24
243	14960	being	5659.85
244	14923	fourth	5636.66
245	14829	where	5613.65
246	14798	2010	5590.83
247	14751	own	5568.19
248	14724	record	5545.74
249	14707	чемпионат	5523.47
250	14655	motorcycle	5501.38
251	14648	15	5479.46
252	14623	front	5457.71
253	14575	podium	5436.14
254	14490	prei	5414.74
255	14488	В	5393.51
256	14338	mov	5372.44
257	14337	scor	5351.53
258	14274	2008	5330.79
259	14273	award	5310.21
260	14246	2009	5289.78
261	14223	key	5269.52
262	14159	game	5249.40
263	14156	из	5229.44
264	14134	then	5209.64
265	14097	practice	5189.98
266	14063	h	5170.47
267	13967	club	5151.10
268	13939	2011	5131.88
269	13923	non	5112.80
270	13840	9	5093.87
271	13823	more	5075.07
272	13804	2019	5056.41
273	13740	tank	5037.89
274	13703	bold	5019.50
275	13672	runn	5001.25
276	13627	led	4983.13
277	13621	Формул	4965.14
278	13616	since	4947.28
279	13514	2012	4929.55
280	13510	2007	4911.94
281	13482	run	4894.46
282	13464	2022	4877.11
283	13463	2014	4859.87
284	13439	wheel	4842.76
285	13432	2023	4825.77
286	13416	until	4808.90
287	13370	european	4792.14
288	13353	20	4775.50
289	13340	manufactur	4758.98
290	13334	began	4742.57
291	13326	una	4726.27
292	13321	bmw	4710.08
293	13264	2020	4694.01
294	13248	join	4678.04
295	13240	pow	4662.18
296	13232	einen	4646.43
297	13227	2021	4630.79
